rainfall_1h,rainfall_3h,rainfall_6h,soil_moisture,slope,elevation,river_level,temperature,flood
0.0,10.2,16.41,19.54,5.84,59.92,2.92,29.04,0
2.33,20.33,48.07,19.79,3.32,26.72,2.4,33.41,0
0.0,4.19,26.06,27.54,4.79,69.16,3.15,24.06,0
25.86,46.17,93.74,38.59,2.88,29.02,4.09,29.63,1
1.54,16.72,102.09,43.43,22.27,62.03,3.94,23.78,0
9.76,17.19,37.35,38.43,13.69,47.85,0.28,27.32,0
18.58,58.27,107.6,50.69,17.56,39.22,4.52,31.62,1
15.63,21.31,30.44,35.99,8.7,70.25,2.45,32.5,0
2.97,24.37,86.36,34.09,25.81,42.29,5.6,15.38,0
11.34,33.33,124.6,45.71,9.72,19.84,5.96,29.0,1
31.53,37.29,60.22,34.41,2.63,59.07,4.3,32.14,1
1.5,9.28,23.94,42.84,3.26,81.69,3.28,24.41,0
0.0,24.51,42.46,23.07,6.32,37.42,1.06,27.45,0
0.66,31.47,43.21,27.3,10.55,73.47,2.38,31.39,0
10.5,31.05,72.9,53.7,6.84,158.79,3.7,26.7,1
3.13,27.54,61.02,47.14,8.39,43.63,4.41,22.04,0
5.22,15.77,26.02,29.55,1.41,158.38,1.53,29.03,0
12.59,48.4,74.55,35.31,7.79,66.54,3.46,29.59,0
0.58,3.53,28.67,37.95,2.37,114.06,1.17,28.0,0
4.84,23.91,38.47,40.84,2.7,20.05,2.02,25.28,0
2.24,37.16,93.32,39.92,24.76,54.24,4.77,24.18,1
30.42,62.33,92.77,57.41,3.27,23.13,3.55,24.11,1
15.14,15.66,52.36,32.14,3.87,122.1,4.04,16.66,0
3.17,32.66,74.88,38.71,11.66,21.73,1.51,28.37,0
2.83,13.18,63.93,48.82,12.12,48.71,2.98,25.26,0
33.51,43.62,137.31,45.77,12.01,44.55,5.7,32.68,1
31.15,50.85,88.2,55.46,32.67,93.05,6.23,29.76,1
10.42,15.95,44.78,39.24,7.78,76.28,2.78,27.57,0
5.59,27.63,94.7,34.73,5.37,49.13,4.46,23.48,0
0.0,33.64,60.79,48.12,1.88,129.55,3.46,26.28,0
0.7,44.56,120.49,39.9,4.06,79.89,5.99,29.05,0
19.31,77.67,89.61,29.08,8.07,50.09,3.0,30.39,1
0.0,20.21,73.47,37.01,9.41,67.83,4.26,28.98,0
2.76,11.83,26.63,23.86,1.06,81.24,2.15,21.42,0
0.0,6.74,17.85,25.59,12.22,59.01,0.36,32.76,0
13.22,79.2,93.17,35.88,3.53,106.09,5.2,16.95,1
8.64,20.86,25.86,21.46,3.56,26.46,2.11,26.59,0
5.89,6.85,10.19,11.93,1.36,44.07,2.49,20.63,0
2.86,10.33,16.16,34.91,20.39,27.7,1.66,26.39,0
0.0,9.64,22.74,34.23,1.45,237.63,2.37,30.69,0
2.11,31.96,64.55,40.84,13.85,54.6,3.12,25.27,0
4.39,50.34,63.13,37.59,7.84,75.45,3.33,30.2,0
12.27,44.55,141.37,39.82,10.3,81.25,5.58,27.69,1
18.29,43.61,47.42,36.33,8.11,31.67,3.1,24.45,1
13.67,60.47,118.47,38.58,4.52,46.11,4.15,32.31,1
8.58,40.1,78.82,31.07,1.65,60.77,3.77,25.58,0
5.76,45.31,59.81,17.03,3.56,30.42,3.25,28.11,0
7.55,17.16,39.79,40.3,15.8,66.81,2.56,31.85,0
1.77,6.74,87.52,32.14,4.91,92.44,4.82,25.25,0
6.49,13.06,37.41,36.51,19.44,210.13,2.31,35.2,0
4.35,18.62,28.78,17.59,17.1,67.81,4.91,26.1,0
45.7,105.15,117.23,37.18,12.6,91.08,4.23,37.48,1
7.8,18.02,39.06,41.65,28.87,42.78,4.82,38.24,0
2.56,9.33,107.71,50.12,12.37,29.2,2.73,31.33,1
3.59,84.46,98.34,52.08,4.98,83.84,5.31,24.71,1
15.67,36.69,101.32,37.1,4.49,79.85,3.37,32.9,1
9.1,20.4,37.21,21.52,4.9,47.76,5.09,20.17,0
8.55,12.81,25.02,33.03,11.94,22.89,0.33,26.16,1
23.31,27.09,50.43,18.96,2.69,62.13,1.25,23.13,1
31.28,65.8,69.41,30.66,11.42,85.43,3.69,21.9,1
13.2,14.91,55.47,27.1,2.0,55.48,1.56,20.26,0
2.99,18.79,44.34,45.75,10.87,166.12,2.68,25.67,0
3.18,48.15,81.15,32.13,13.28,26.77,3.76,21.91,0
21.32,31.37,101.7,42.79,9.55,22.99,5.1,26.45,0
33.87,54.88,75.99,25.43,6.52,74.47,1.6,24.99,0
0.0,8.34,31.51,39.59,6.87,45.97,1.82,32.33,0
5.44,66.49,112.22,49.45,5.44,43.16,4.74,34.44,0
28.56,51.66,60.43,30.93,3.6,32.57,4.51,32.13,1
9.97,53.97,57.8,43.32,2.17,57.31,5.1,35.87,0
0.0,17.26,24.48,41.67,17.63,220.41,2.19,23.68,0
5.99,26.72,36.43,26.85,3.05,50.42,2.84,31.05,0
10.0,35.54,97.07,50.64,6.2,51.11,6.05,28.26,1
6.61,20.66,44.71,32.08,10.1,85.0,3.1,24.0,0
18.21,49.73,78.42,25.4,8.51,32.41,2.59,20.96,1
19.38,35.42,67.93,39.26,12.56,33.76,1.98,26.72,0
4.3,32.05,96.77,35.82,5.5,95.98,4.32,24.31,0
13.42,58.85,85.35,27.07,9.15,85.69,3.85,27.03,1
2.06,21.23,28.8,31.62,11.13,63.33,1.34,24.72,0
6.38,15.97,44.18,35.6,2.2,42.58,2.65,23.21,0
3.63,46.49,142.09,65.62,8.9,39.17,5.44,28.12,1
2.68,28.19,46.59,31.23,8.18,27.33,2.19,19.75,0
6.75,18.65,90.97,28.43,18.54,41.27,4.63,32.86,0
0.0,8.14,42.77,27.8,15.54,42.77,2.04,19.96,0
16.76,16.9,90.17,48.91,3.89,113.18,4.47,28.46,1
2.71,20.08,34.97,47.73,10.89,13.68,1.3,29.32,0
15.97,32.44,44.98,40.18,2.78,24.14,4.3,28.28,0
0.38,7.64,9.25,30.38,14.5,123.54,2.85,31.42,0
2.69,10.12,29.51,25.88,11.96,97.47,2.88,30.41,0
0.0,8.06,18.52,23.43,6.98,21.69,0.44,33.47,0
0.0,15.62,31.8,34.68,4.8,37.62,1.7,33.32,0
0.85,35.89,72.24,38.53,20.39,21.88,3.63,29.97,0
0.43,14.36,15.9,13.55,8.52,27.71,0.2,27.38,0
0.0,11.27,49.98,21.8,7.81,21.49,3.9,26.49,0
5.79,11.13,26.88,27.15,2.93,65.46,0.95,32.16,0
11.76,13.43,71.58,36.98,22.9,91.73,5.09,25.52,1
12.45,17.95,76.87,31.73,5.07,50.47,1.89,29.48,0
0.0,10.21,30.5,33.04,1.51,127.86,2.41,25.5,0
3.59,12.46,26.63,31.65,1.51,112.86,4.49,25.94,0
2.96,22.89,50.58,36.65,3.52,26.6,2.43,36.54,1
23.7,41.59,98.92,48.75,14.09,19.5,6.53,31.96,1
3.84,9.52,56.93,24.26,6.91,65.92,2.64,32.68,0
5.11,25.14,126.67,46.39,8.44,159.65,4.05,34.17,1
0.0,7.58,20.48,30.15,6.44,82.73,2.05,27.26,0
0.75,15.21,29.79,36.06,3.24,103.34,1.63,26.3,0
0.0,5.32,65.95,35.48,9.08,44.19,1.41,28.74,0
6.33,26.29,46.83,24.87,3.55,149.38,4.48,19.68,0
24.4,32.9,42.65,31.27,4.21,11.01,1.87,32.46,0
0.89,43.74,57.91,34.02,6.53,29.62,4.18,21.21,0
3.89,12.96,43.21,32.54,2.09,90.7,3.92,31.37,0
0.45,5.3,97.25,53.55,5.15,72.62,4.69,33.13,1
1.67,10.54,95.34,35.07,16.79,92.61,4.37,35.98,0
6.51,13.4,69.51,38.46,17.6,53.69,2.6,22.92,0
35.48,36.76,55.56,17.24,12.31,49.03,4.47,27.4,1
23.3,69.35,87.4,31.48,2.83,31.36,4.89,27.08,1
29.87,53.32,142.98,43.26,9.04,19.63,7.38,28.26,1
16.12,34.05,50.05,29.81,7.57,21.39,1.32,27.36,0
3.8,16.3,77.89,46.71,3.03,71.56,5.59,21.95,0
2.93,8.28,44.1,41.2,2.73,95.54,3.75,22.27,0
0.91,3.23,17.87,10.08,8.71,42.39,4.55,34.51,0
3.7,17.99,60.28,32.66,1.17,38.69,3.72,31.51,1
24.72,40.48,78.15,46.51,16.83,30.44,3.73,24.98,1
24.47,36.2,39.06,33.48,11.34,100.52,3.68,34.16,1
47.17,110.18,131.99,44.9,8.0,92.92,5.41,22.09,1
7.19,8.41,38.08,26.92,0.95,15.28,0.94,27.64,0
0.0,13.25,46.94,5.99,2.52,132.07,3.18,37.66,0
10.92,12.23,25.97,29.3,10.07,22.2,0.2,23.25,0
35.82,46.99,69.38,20.67,2.03,95.49,3.4,36.42,0
27.75,37.9,56.04,31.97,8.24,20.86,4.42,19.69,1
2.28,5.31,24.48,40.4,12.41,13.27,1.54,31.81,0
0.0,6.2,87.15,44.43,6.51,135.09,4.82,19.21,0
0.0,11.71,87.55,30.82,7.63,431.69,4.05,38.42,0
1.17,13.63,20.95,29.38,9.76,103.73,2.89,27.35,0
1.84,9.94,35.86,42.45,9.25,56.33,2.4,27.06,0
3.32,41.85,90.61,37.05,5.99,61.66,5.29,30.35,1
12.59,43.32,56.34,37.92,21.63,94.81,3.55,27.11,0
3.11,7.6,33.14,34.04,6.64,59.34,4.29,29.37,0
5.99,10.32,19.47,29.36,7.49,85.86,3.95,29.72,0
0.92,7.84,15.51,24.37,7.02,41.68,1.48,23.0,0
0.74,19.19,46.06,52.66,8.59,51.05,2.96,26.82,0
0.0,10.32,17.78,41.74,11.57,17.5,3.08,39.55,0
2.96,19.5,51.18,34.27,7.62,59.65,3.17,29.41,0
0.0,31.52,60.17,31.79,3.31,61.14,3.34,26.21,0
2.55,8.62,45.17,36.52,8.62,215.88,0.79,30.74,0
6.66,8.52,15.43,45.36,18.29,214.02,0.22,31.45,0
25.11,46.33,50.57,36.19,3.3,76.29,4.77,33.04,1
0.55,6.54,117.1,53.44,23.81,38.74,6.86,24.46,0
6.41,26.53,49.82,25.66,3.71,99.74,2.75,34.99,0
1.47,19.19,60.06,39.21,5.91,76.67,5.05,30.44,0
0.0,34.12,61.7,49.16,3.36,70.95,3.3,29.23,0
25.38,44.42,66.18,45.0,5.99,21.9,3.12,23.76,0
7.07,22.16,50.48,45.04,13.52,99.24,2.41,30.96,0
10.29,24.61,37.73,29.47,25.1,189.69,2.09,24.55,0
29.24,81.0,106.4,37.68,7.51,55.74,3.99,22.32,1
2.52,19.21,72.81,46.12,7.96,67.38,1.58,30.65,0
0.0,11.3,33.3,24.21,2.14,63.69,0.46,25.74,0
0.49,9.43,96.0,54.05,2.83,31.52,3.02,24.1,0
0.0,21.17,58.71,43.69,8.62,76.24,4.34,17.06,0
19.24,65.56,76.19,54.8,8.58,122.78,4.31,28.47,1
37.02,61.45,103.42,37.44,8.04,118.17,6.0,23.11,1
6.56,47.32,106.27,33.57,8.84,65.18,3.24,26.17,1
12.98,38.79,56.63,40.43,28.86,32.6,4.1,30.33,0
16.81,20.16,52.84,36.04,5.14,27.33,3.09,23.96,0
30.99,97.44,104.35,33.33,7.32,76.53,3.68,26.71,1
35.71,53.75,84.15,45.86,8.18,48.66,3.81,30.51,1
0.0,52.27,69.34,52.06,4.62,25.88,3.14,28.6,1
1.6,42.19,49.81,49.2,23.64,62.6,2.18,26.94,0
5.57,8.35,26.42,28.63,15.62,236.27,3.31,31.56,0
1.05,15.72,47.52,21.43,7.19,28.46,1.23,23.64,0
3.48,11.24,111.13,37.22,0.49,32.24,3.31,12.0,0
9.53,16.18,67.75,27.58,3.67,81.74,2.98,20.5,0
9.22,29.14,101.39,34.38,8.94,23.97,4.19,33.58,1
16.27,45.59,105.4,44.06,8.35,56.97,3.55,32.86,0
5.75,10.06,54.7,26.43,3.02,45.48,2.94,32.81,0
2.96,6.65,26.65,14.26,8.72,137.03,1.81,26.39,0
8.44,24.54,58.64,25.87,15.53,94.7,1.53,14.22,0
17.45,43.37,53.43,46.91,4.43,39.23,3.34,29.18,1
15.02,48.25,81.71,44.78,4.96,76.36,6.64,35.11,0
4.66,54.71,88.5,29.79,4.17,78.24,2.81,23.7,0
1.3,46.99,70.35,41.1,3.19,54.22,4.15,26.95,1
5.01,27.34,50.92,33.3,12.5,327.35,3.26,36.47,0
1.74,27.33,48.89,30.42,4.16,68.55,2.21,29.07,0
20.75,52.55,92.73,37.16,10.63,335.86,3.17,25.1,0
4.99,8.91,42.7,44.08,8.65,88.76,2.66,14.86,0
8.89,22.67,89.39,31.33,8.4,94.63,4.12,17.59,0
0.0,40.62,117.6,45.62,3.2,463.92,4.71,32.0,0
17.34,23.91,53.82,29.49,4.24,204.35,3.0,32.38,0
4.29,7.08,26.43,17.96,10.25,34.87,1.04,34.21,0
8.53,15.32,35.53,40.02,19.63,71.9,0.96,30.71,1
10.93,19.76,29.45,41.25,12.54,36.99,2.67,33.06,0
16.7,32.89,48.52,33.61,21.39,38.93,3.21,37.62,1
6.97,32.28,81.6,46.22,15.66,97.68,5.01,25.99,0
4.46,37.01,78.62,33.17,6.83,37.15,5.5,29.52,1
0.0,22.88,45.34,39.05,3.27,28.5,4.5,24.5,0
0.0,42.87,106.84,41.87,4.33,50.33,3.45,33.06,0
6.78,15.26,41.93,25.16,12.31,82.11,3.27,31.12,0
8.6,16.83,55.36,32.76,4.6,495.14,2.43,25.59,0
10.4,15.32,28.29,29.54,6.02,132.32,2.48,24.57,1
0.57,15.49,59.67,38.9,10.74,20.49,4.11,35.64,0
1.78,9.29,14.15,5.84,12.41,34.73,1.57,27.79,0
6.62,41.33,66.18,31.88,1.12,53.93,4.11,30.18,0
2.42,6.13,27.53,40.38,12.57,122.17,3.33,28.84,0
50.43,91.39,122.8,43.72,0.68,94.91,6.96,31.3,1
1.68,8.11,106.47,30.58,12.1,35.23,2.92,28.35,0
9.33,46.42,62.57,44.15,2.02,127.79,2.47,27.39,0
14.55,23.38,61.86,40.19,8.4,76.28,4.37,23.6,0
15.5,44.13,87.74,32.0,0.8,15.07,2.43,28.05,1
2.32,18.67,64.13,23.2,11.89,28.89,3.45,28.82,0
10.99,38.59,60.89,41.16,3.82,268.65,3.24,26.2,0
9.49,11.25,19.84,24.87,5.7,76.55,3.04,31.6,0
11.53,23.7,56.62,7.69,9.13,95.07,2.47,26.92,1
6.5,45.32,64.59,24.44,7.49,132.97,2.46,12.0,1
14.66,29.04,63.79,31.84,7.15,55.11,4.25,30.84,0
7.59,15.8,31.49,46.22,1.84,56.42,2.69,31.7,0
0.0,3.45,41.71,38.15,7.61,112.25,2.51,32.63,0
7.3,14.34,86.33,24.75,14.27,34.1,2.76,37.31,0
8.45,51.77,65.58,29.02,13.49,25.27,4.16,36.28,0
13.61,37.47,74.75,49.9,23.56,32.02,2.57,31.29,0
6.8,36.08,61.81,24.5,14.53,60.29,3.73,32.96,0
31.65,43.14,88.14,45.57,7.61,24.08,4.61,30.84,1
4.71,15.35,27.17,21.59,5.74,60.45,2.17,26.93,0
2.05,31.17,35.21,27.15,1.93,83.31,0.2,16.17,0
23.37,58.8,78.54,21.34,17.81,117.9,3.86,12.2,1
4.51,14.15,56.33,31.44,8.14,106.45,3.63,21.3,1
5.97,30.32,52.66,30.7,9.62,368.12,4.37,37.06,0
8.46,29.23,37.27,27.5,3.5,30.13,3.75,28.87,0
7.6,10.72,45.29,50.13,4.27,49.66,2.05,27.1,0
11.43,31.23,51.6,40.79,6.48,112.58,1.74,28.44,0
12.77,28.27,47.97,24.95,11.87,101.34,1.48,29.85,0
1.61,5.51,35.75,21.97,7.93,26.97,2.94,34.43,0
0.0,27.17,98.27,48.13,3.93,76.18,5.31,29.84,0
0.0,5.45,13.88,17.27,4.2,119.9,1.27,28.95,0
21.02,29.5,53.88,29.52,2.47,227.54,2.15,31.47,0
3.92,104.23,157.41,59.43,1.79,182.21,5.39,19.37,1
14.42,22.34,96.43,36.57,3.86,111.05,2.86,23.13,1
13.15,24.97,86.78,32.64,7.93,137.31,3.14,28.99,1
5.96,8.93,19.4,21.8,10.55,40.5,2.05,35.28,0
0.51,64.07,86.08,30.85,19.88,145.27,2.37,21.71,0
13.49,59.14,78.76,47.12,6.18,241.82,3.89,22.56,1
5.68,6.73,15.88,29.17,10.8,56.11,2.43,25.12,0
0.0,90.39,118.7,41.42,7.0,45.21,3.91,31.85,1
2.46,58.54,73.11,35.16,8.27,47.43,3.58,28.87,1
0.0,18.14,33.09,36.63,7.57,54.18,2.5,25.2,0
2.72,9.45,170.72,47.73,5.36,21.95,6.55,30.51,1
6.41,49.15,68.23,35.83,12.78,25.06,2.68,26.39,0
4.83,33.95,74.37,28.44,14.53,20.8,4.42,22.08,0
3.96,73.64,88.72,53.26,7.28,151.78,2.75,28.64,0
6.32,70.97,82.53,41.95,15.11,93.54,5.51,21.99,1
10.67,26.44,42.99,20.19,15.49,26.07,4.72,33.96,0
15.63,34.11,55.62,28.64,3.1,104.44,3.38,24.65,0
17.82,23.97,57.05,28.26,12.67,68.2,3.82,31.2,0
1.1,8.03,41.5,29.8,1.59,101.97,1.73,31.77,0
19.57,33.47,57.38,50.63,14.46,153.4,4.95,31.95,0
5.69,32.66,36.0,26.53,6.22,35.4,1.45,27.48,0
3.24,72.15,129.39,43.92,2.09,99.63,4.86,26.37,1
0.04,7.2,14.82,20.65,6.81,55.34,3.8,22.43,0
9.84,24.43,74.02,37.98,7.95,24.61,3.84,23.36,1
9.4,41.52,71.52,30.1,7.99,85.76,4.15,20.44,0
1.98,20.13,64.09,28.31,10.07,41.93,2.94,17.6,0
2.13,27.32,97.37,35.98,15.51,34.98,4.37,31.19,0
4.56,21.56,86.99,39.51,10.32,111.12,4.86,37.21,0
3.13,7.53,36.55,29.04,12.64,107.86,3.35,24.51,0
0.91,42.53,88.87,38.53,1.89,27.02,3.76,27.39,1
0.0,25.69,50.81,40.53,13.73,21.07,2.28,29.19,0
19.78,29.16,54.04,22.18,6.16,37.53,1.77,29.07,0
2.43,15.58,37.55,32.27,17.7,31.93,2.51,24.2,1
9.34,17.77,75.11,47.32,15.88,167.24,4.35,26.17,0
11.58,39.94,80.96,47.72,4.01,38.15,6.37,35.77,0
9.89,12.34,54.08,34.93,1.1,58.86,4.16,24.73,1
12.28,20.35,40.26,37.08,5.14,71.63,3.45,33.38,0
9.76,21.36,73.94,47.74,5.94,103.63,3.2,34.29,0
1.52,13.29,66.7,28.56,10.39,24.99,4.13,25.09,0
3.48,9.16,15.55,23.94,4.02,270.01,1.12,23.56,0
19.27,35.95,132.52,40.76,9.05,155.53,5.81,26.19,0
2.28,4.78,23.63,26.59,10.17,88.52,1.85,28.79,0
5.7,34.51,76.67,29.54,5.47,91.47,2.8,25.6,0
10.72,63.72,76.51,33.11,5.93,18.41,4.52,28.32,0
26.33,47.5,67.79,40.45,2.42,68.07,3.09,31.34,1
17.64,23.4,92.62,36.15,4.53,63.14,5.44,23.13,1
0.37,27.05,39.19,32.42,7.78,183.91,2.29,29.78,0
8.99,20.92,57.34,27.18,13.94,21.24,4.4,28.48,0
7.77,28.92,53.05,40.5,4.8,24.88,2.55,24.26,0
3.53,20.83,25.76,15.14,10.92,73.87,0.37,14.73,0
5.94,37.45,83.03,36.08,5.56,40.93,3.22,26.53,0
1.48,22.33,80.3,46.32,3.05,385.54,3.49,30.32,0
4.43,15.43,43.76,28.95,7.23,33.07,2.52,25.43,0
2.33,9.97,62.84,27.3,11.22,191.75,5.18,24.09,0
6.59,19.2,40.56,41.44,13.91,11.79,1.95,29.07,0
3.3,38.18,58.72,27.67,15.76,100.74,4.1,31.63,0
28.16,40.42,95.65,37.6,2.95,156.28,3.36,21.13,0
6.88,31.61,52.74,30.3,7.53,18.45,1.86,27.03,0
5.22,31.31,98.16,36.3,23.51,11.03,4.16,26.91,1
4.05,17.8,104.1,51.7,11.55,8.97,6.22,41.03,1
3.32,16.11,42.58,18.2,18.42,67.81,0.92,22.51,0
0.0,15.23,62.6,28.84,21.53,46.44,3.47,30.38,0
14.38,17.27,89.58,38.23,2.57,61.76,4.58,23.96,0
23.4,46.42,53.2,38.08,1.12,178.98,3.21,26.8,1
2.25,12.29,31.16,19.66,4.38,60.17,2.04,39.16,0
19.18,38.22,77.94,43.04,5.2,50.96,1.02,28.91,0
50.02,59.18,97.14,44.23,1.35,32.72,4.55,32.85,1
35.91,81.59,124.52,32.78,18.69,141.46,5.48,40.5,1
22.45,48.5,74.85,31.58,18.92,74.83,4.85,27.2,1
0.0,0.81,27.37,27.03,8.67,42.62,0.37,27.37,0
0.0,14.24,68.0,45.96,21.44,105.38,5.75,19.57,0
12.22,43.93,89.32,50.72,5.15,34.79,5.54,39.03,0
5.78,81.75,83.17,45.2,11.11,37.55,3.31,28.24,1
0.0,4.18,53.2,28.55,9.13,75.61,4.06,26.65,0
2.86,3.75,30.33,32.05,2.84,23.68,3.25,31.44,0
11.64,21.71,57.92,36.79,14.29,23.15,2.72,17.04,0
4.53,13.45,17.24,17.17,4.32,53.9,2.83,23.12,0
5.82,31.7,74.24,35.28,3.56,67.97,2.71,31.64,0
0.0,5.5,9.45,40.12,2.16,44.05,2.12,37.13,0
2.79,12.19,68.71,25.91,31.74,50.68,0.2,34.88,0
12.28,22.64,72.29,39.44,10.54,92.0,4.8,17.15,1
2.52,22.02,33.93,30.65,4.71,32.32,1.77,39.48,0
20.67,45.46,61.47,26.72,0.55,11.01,2.13,23.26,1
6.01,13.96,37.27,37.46,4.55,122.76,2.9,25.08,0
9.79,29.41,55.34,28.94,3.51,20.07,2.76,27.96,1
11.98,13.02,53.86,44.49,6.44,30.13,2.42,25.72,0
11.47,59.42,71.02,57.13,4.51,17.3,2.83,31.96,1
0.28,6.7,29.03,30.17,18.48,72.88,2.04,26.51,0
0.89,38.09,89.99,55.76,11.38,91.68,4.14,33.73,0
0.0,8.87,12.59,28.13,10.38,183.63,2.06,32.13,0
3.45,29.07,81.06,18.52,7.27,192.06,2.64,31.36,0
0.6,12.61,24.7,26.26,9.21,149.44,1.96,30.74,0
2.36,32.41,90.16,38.9,11.24,63.96,3.98,35.33,0
4.11,39.49,52.88,49.29,2.03,75.85,4.96,28.05,0
7.13,51.61,65.34,36.45,4.27,70.1,1.32,32.38,1
4.64,27.1,53.38,13.89,6.43,47.63,0.49,19.38,0
4.51,6.28,38.08,34.99,4.04,100.7,3.92,29.99,0
8.91,14.65,38.88,32.14,1.44,71.57,3.93,37.12,0
5.47,51.44,69.3,34.46,13.01,43.48,4.9,31.46,0
15.48,29.02,75.65,37.06,0.85,108.32,4.05,17.27,0
5.5,18.16,30.29,40.22,16.48,64.17,3.35,27.05,0
26.48,53.18,98.33,42.17,6.2,81.97,4.4,34.78,1
0.15,23.7,43.05,33.62,10.09,34.77,2.88,27.02,0
3.35,68.08,111.15,38.28,3.46,6.39,4.46,31.31,1
1.56,16.7,27.66,18.05,11.83,69.08,1.63,32.94,0
7.49,20.77,51.46,34.94,7.32,19.89,3.38,33.7,0
0.15,34.51,43.97,26.99,2.63,141.12,4.79,26.01,0
0.0,27.69,47.4,33.93,7.84,44.39,0.82,23.01,0
0.77,4.97,43.56,13.81,15.18,22.73,2.32,27.61,0
0.0,13.52,36.85,31.86,3.14,37.12,3.02,16.89,0
4.2,72.25,147.1,48.03,4.61,55.06,5.82,29.21,1
7.1,14.35,32.79,30.81,20.77,134.81,1.82,26.36,0
0.0,13.0,55.45,35.97,6.41,153.17,2.5,29.14,0
2.97,59.36,72.14,40.86,13.52,62.13,4.06,33.32,0
17.6,73.12,147.46,53.62,14.77,37.39,5.45,22.26,1
22.73,64.24,123.82,43.11,10.06,85.25,6.38,32.56,1
13.33,24.82,57.35,42.64,5.39,42.44,4.03,20.65,0
0.0,8.41,37.22,30.24,5.22,149.81,1.15,38.25,0
6.29,39.88,63.87,23.06,6.27,29.7,2.0,34.37,0
19.62,67.27,107.87,48.59,1.27,263.39,3.76,32.97,1
2.41,17.31,70.17,34.46,10.57,77.35,3.76,22.43,0
0.0,22.05,28.87,26.29,23.75,45.31,3.05,25.89,0
18.24,26.02,60.13,47.91,10.16,122.34,3.73,31.09,0
20.88,24.05,27.13,27.37,0.85,91.85,3.14,23.7,1
5.41,8.92,47.67,35.25,9.78,101.22,4.74,29.25,0
0.0,15.08,50.8,42.51,1.46,82.43,2.26,17.95,0
0.0,6.98,14.29,22.54,12.25,77.1,2.0,24.66,0
8.46,29.19,40.06,38.07,8.46,143.9,2.19,29.53,0
1.6,9.96,30.93,31.5,3.54,39.0,1.93,30.44,0
4.93,44.83,57.66,45.99,6.63,134.29,1.75,18.22,1
4.17,14.98,20.49,23.22,2.02,43.67,1.96,16.77,0
0.58,12.94,24.76,23.23,21.52,98.88,2.99,25.35,0
0.0,46.06,97.35,43.18,8.41,190.14,5.0,24.55,0
2.55,21.73,58.5,25.61,2.95,148.6,2.76,27.3,0
6.63,27.65,59.62,45.8,7.47,54.78,5.25,21.68,0
7.04,19.71,50.2,30.5,5.23,17.5,2.04,33.59,0
1.31,18.82,39.71,46.88,4.92,116.75,2.4,28.97,0
20.48,25.51,32.84,21.3,23.71,27.99,0.69,33.69,0
0.0,34.35,60.48,44.08,3.45,71.67,4.57,27.42,0
16.26,25.39,28.72,27.36,1.61,44.98,1.06,25.28,0
6.35,10.35,33.01,24.88,1.43,112.12,3.11,29.23,0
2.6,26.32,39.97,35.39,4.53,34.24,0.2,33.3,0
9.82,36.26,47.52,33.87,23.6,24.85,2.6,24.03,0
3.77,19.75,62.44,40.04,5.34,12.48,1.32,26.76,0
0.0,49.17,70.1,29.89,7.62,72.63,3.66,23.67,0
0.0,8.66,131.49,32.1,12.87,45.68,6.65,17.86,0
3.36,18.07,57.68,40.08,6.63,35.14,2.43,43.0,0
1.91,3.34,61.17,28.76,16.02,55.13,2.28,33.61,0
15.9,16.21,71.14,36.85,5.43,76.19,2.44,27.07,0
1.7,21.04,42.73,37.37,3.68,89.0,3.81,28.43,0
1.42,25.47,55.49,35.29,17.86,21.41,2.0,24.13,0
0.88,19.13,46.24,30.61,11.46,102.09,3.09,22.95,0
0.57,24.72,33.01,25.27,18.13,109.43,1.02,27.02,1
0.68,34.23,89.7,49.19,9.51,8.3,5.27,19.06,0
0.0,14.65,36.29,37.72,4.15,89.87,4.12,25.75,0
6.71,18.66,36.08,41.14,10.36,103.65,2.71,26.51,0
4.32,10.34,21.22,18.39,12.18,40.79,2.5,23.57,0
4.04,24.77,108.59,36.53,13.1,24.89,3.79,17.08,0
0.0,36.94,63.65,31.72,10.16,67.79,3.34,37.03,0
8.87,36.85,73.1,39.79,10.42,22.8,3.82,28.86,0
9.94,74.36,96.69,55.58,18.87,130.25,5.61,22.09,1
25.34,42.44,69.37,36.61,4.04,61.93,3.14,30.3,0
9.33,20.12,33.31,26.46,3.95,192.77,2.75,26.99,0
30.06,44.06,58.18,36.55,4.43,38.19,1.49,33.45,1
1.21,31.3,47.55,20.33,4.27,102.0,1.21,23.98,0
26.59,50.6,122.01,25.51,0.74,67.45,4.92,23.82,1
9.68,18.81,95.12,29.55,7.91,35.46,3.9,34.41,1
8.32,28.21,64.32,31.54,17.23,31.83,3.14,28.76,0
3.87,12.0,47.23,36.41,15.19,101.72,2.51,32.02,0
2.58,26.74,43.02,41.93,3.3,117.89,2.8,35.01,0
1.53,3.56,46.63,44.39,4.22,111.84,2.71,40.68,0
27.4,30.44,66.82,43.8,11.28,41.5,4.94,25.55,1
3.66,7.73,45.04,20.44,14.47,41.12,1.77,38.27,1
9.89,16.14,23.54,26.81,4.17,484.67,2.12,26.25,0
12.45,34.78,123.16,57.46,4.15,88.26,6.08,28.78,1
12.26,41.75,65.31,22.82,1.88,97.54,3.06,37.48,0
6.75,22.28,39.66,31.43,16.79,80.8,3.12,31.0,0
26.15,30.16,55.14,34.03,12.91,118.01,3.87,24.01,0
